title,description,category_id,required_skills,education_required,experience_required,career_path,salary_range,future_prospect
金融分析师,负责企业财务分析和投资决策支持,107,"['财务分析', '金融建模', 'Excel', '投资分析', '报表分析']",本科及以上,3年以上,"['分析师', '高级分析师', '分析经理']","{""min"": 12000, ""max"": 25000}",需求稳定
投资顾问,为客户提供投资建议和理财规划,107,"['理财规划', '风险评估', '资产配置', '金融产品', '沟通技巧']",本科及以上,3年以上,"['理财顾问', '高级顾问', '财富管理经理']","{""min"": 10000, ""max"": 30000}",发展良好
风险管理师,评估和管理金融风险制定风险控制策略,107,"['风险分析', '金融知识', '统计分析', '法规了解', '模型构建']",本科及以上,3年以上,"['风险分析师', '风险经理', '风险总监']","{""min"": 15000, ""max"": 35000}",需求增长
会计师,负责财务记录报表编制和财务分析,108,"['会计原则', '财务报表', '税法', '审计', '财务软件']",本科及以上,2年以上,"['会计', '高级会计', '财务经理']","{""min"": 8000, ""max"": 20000}",稳定就业
税务专员,处理企业税务申报和税务筹划,108,"['税法', '财务知识', '税务申报', '税务筹划', '政策解读']",本科及以上,2年以上,"['税务专员', '税务经理', '税务总监']","{""min"": 10000, ""max"": 25000}",需求稳定
审计师,进行财务审计和内部控制评估,108,"['审计准则', '风险评估', '内控', '财务分析', '报告编写']",本科及以上,3年以上,"['初级审计师', '高级审计师', '审计经理']","{""min"": 12000, ""max"": 28000}",持续发展
财务分析师,分析财务数据支持业务决策,108,"['财务分析', '预算', 'Excel', '财务建模', '业务分析']",本科及以上,2年以上,"['财务分析师', '高级分析师', '财务总监']","{""min"": 12000, ""max"": 30000}",需求稳定
法务专员,处理企业法律事务和合同管理,109,"['法律知识', '合同管理', '法律风险', '谈判技巧', '案例分析']",本科及以上,2年以上,"['法务专员', '法务经理', '法律总监']","{""min"": 10000, ""max"": 25000}",稳定需求
律师,提供法律咨询和诉讼代理服务,109,"['法律专业知识', '诉讼技巧', '案例研究', '法规解读', '文书撰写']",本科及以上,3年以上,"['律师助理', '执业律师', '合伙人']","{""min"": 15000, ""max"": 40000}",长期稳定
合规官,确保企业运营符合法律法规要求,109,"['合规管理', '风险控制', '法规解读', '内控审计', '政策追踪']",本科及以上,5年以上,"['合规专员', '合规经理', '合规总监']","{""min"": 20000, ""max"": 40000}",需求增长 